"Post Unique Reference","Name","Grade","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1058719","Maj-Gen J Thomas","OF-7","Assistant Chief of the Defence Staff (Intelligence Capability)","ACDS(IC) is responsible for joint intelligence collection in support of Defence and wider Government requirements; joint and single service intelligence language and photography training; future intelligence collection capability strategy and plans.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1058711","314138","1.00","110000","114999","","Military","","1"
"1058711","AM C M Nickols","OF-8","Chief of Defence Intelligence","MoD principal adviser on defence intelligence issues. Process owner for defence intelligence and Senior Responsible Owner for the Defence Intelligence Modernisation Programme.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","109715","0","1.00","135000","139999","","Military","","1"
"1143483","N/D","OF-6","Commandant of the Defence Intelligence and Security Centre","Commandant DISC is dual-hatted as Director of the Intelligence Corps.  As Comdt, he is responsible for delivering training to tri-Service personnel and Civil Servants through the Defence Schools of Intelligence (Chicksands), Languages (Beaconsfield) and Photography (Cosford) as well as the Royal School of Military Survey (Hermitage).","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","105515","16989058","1.00","95000","99999","","Military","","1"
"1058158","N/D","OF-6","Commander Intelligence Collection Group","Commander Intelligence Collection Group is responsible for the ICG and through its constituent Units (JAGO, JARIC, DGC, JSSO and DHO).","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","105515","101615632","1.00","95000","99999","","Military","","1"
"105515","N/D","SCS2","Deputy Chief of Defence Intelligence","DCDI leads the Defence Intelligence and Assessments Staff (DIAS) and directs the defence intelligence analytical teams that produce all-source defence intelligence assessments for Ministers, the Chiefs of Staff and senior officials.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1058719","53225","1.00","85000","89999","","Operational Research","","1"
"105517","N/D","SCS1","Head of Defence Intelligence Capability Assessments","DI Capability Assessments (CA) has a diverse team of civilian and military analysts who are qualified engineers, scientists, operators and intelligence analysts with experience in research, development and military matters.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","105515","5304434","1.00","65000","69999","","Operational Research","","1"
"183178","N/D","SCS1","Head of Defence Intelligence Counter Proliferation","The Defence Intelligence Counter-Proliferation (DI CP) Division is a national centre of excellence that works across Whitehall supporting JIC requirements and priorities through the provision of advice on technology, programmes and enforcement. ","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","105515","2059494","1.00","65000","69999","","Operational Research","","1"
"182746","N/D","SCS1","Head of Defence Intelligence Development and Support","The Head of Defence Intelligence Development and Support provides corporate planning and control for Defence Intelligence.  This role includes leading the Executive Board in setting business strategy, and providing robust performance management, reporting and governance.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1058711","1675343","1.00","65000","69999","","Planning","","1"
"1058725","N/D","OF-6","Head of Defence Intelligence Intelligence Capability Strategy and Policy","The Head of Defence Intelligence Capability, Strategy and Policy (ICSP) is responsible for directing policy, strategy, capability development and guidance on integrated intelligence collection, strategy and plans for HUMINT, MASINT, OSINF, SIGINT and Geospatial Intelligence (GEOINT). ","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","105515","3556818","1.00","95000","99999","","Military","","1"
"1058715","N/D","OF-6","Head of Defence Intelligence Fusion Centre (Afghanistan)","Head of Defence Intelligence Operations is responsible for the coordination of intelligence support to MoD decision-making for current and planned operations, and is DI's primary link to MoD, OGDs and PJHQ for operational issues.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","105515","1307184","1.00","95000","99999","","Military","","1"
"105516","N/D","SCS1","Head of Defence Intelligence Strategic Assessments","Head of Defence Intelligence Strategic Assessments is responsible for the provision of intelligence assessments on military and political issues, strategic warning and other developments in regions of interest world-wide and is Head of the Analytical profession. ","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","105515","5864668","1.00","65000","69999","","Operational Research","","1"
"111797","John Taylor","SCS2","Chief Information Officer (CIO)","To deliver strategy, policy, guidance and core services in relation to information in order to set the conditions for effective information management and exploitation across Defence.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","104016","239283","1.00","110000","114999","","Knowledge and Information Management (KIM)","","1"
"111801","N/D","SCS1","CIO-Corporate Information-Head","To deliver strategy, policy, guidance and core services in relation to information in order to set the conditions for effective information management and exploitation across Defence.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","111797","1414912","1.00","65000","69999","","Knowledge and Information Management (KIM)","","1"
"136404","N/D","SCS1","CIO-Corporate Services Systems Convergence Requirements Manager","To deliver strategy, policy, guidance and core services in relation to information in order to set the conditions for effective information management and exploitation across Defence.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","111797","0","1.00","65000","69999","","Knowledge and Information Management (KIM)","","1"
"111794","N/D","SCS1","CIO-Defence Strategy and Assurance Services","To deliver strategy, policy, guidance and core services in relation to information in order to set the conditions for effective information management and exploitation across Defence.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","111797","4904450","1.00","65000","69999","","Knowledge and Information Management (KIM)","","1"
"111803","N/D","OF-6","CIO-Information Strategy&Policy-Head","To deliver strategy, policy, guidance and core services in relation to information in order to set the conditions for effective information management and exploitation across Defence.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","111797","1972807","1.00","95000","99999","","Military","","1"
"111804","N/D","OF-6","CIO-Joint 6 Information Strategy&Policy","To deliver strategy, policy, guidance and core services in relation to information in order to set the conditions for effective information management and exploitation across Defence.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","111797","1607797","1.00","95000","99999","","Military","","1"
"139073","Frances Nash","SCS2","Director Central legal Services","DCLS reports to the 2nd Permanent Secretary and is the primary source of legal advice to Defence and Ministers. Responsibilities include: Being the single source for coordinated and authoritative legal advice on the whole range of Defence business.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","104016","105155","1.00","95000","99999","","Law","","1"
"139083","N/D","SCS1","Head of Operational International Humanitarian Law Division","Advising Ministers, senior policy and military colleagues on all aspects of operational and international law relating to overseas military operations and counter-terrorism including: SF issues, weapons issues, maritime and air operations, defending the Department’s position in related legal challenges.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","139073","254981","1.00","65000","69999","","Law","","1"
"139085","N/D","SCS1","Head of Personnel & Pensions Law Division","The PPL team advises on personnel-related policies, including the development of the redundancy programmes; casework, which concerns such diverse subjects as pay and discrimination issues, discipline and grievance, Armed Forces Compensation Scheme, war pensions and pensions casework and the AFPS projects.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","139073","685272","1.00","65000","69999","","Law","","1"
"139084","N/D","SCS1","Head of Commercial Law Division","The Commercial Law Team advises the Department on all aspects of Commercial Law and also encompasses a Property Law team, which provides advice on aspects of Defence Estates work. The team is also responsible for managing MOD’s panel of external commercial lawyers.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","139073","1774670","1.00","65000","69999","","Law","","1"
"139086","N/D","SCS1","Head of General Law Division","The GL team advises ministers, senior policy and military personnel on a wide range of legal issues.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","139073","296941","1.00","65000","69999","","Law","","1"
"139074","N/D","SCS1","Head of Legislation Division","The work of the legislation team includes working on the Armed Forces Bill and on subordinate legislation and working closely with Other Government Departments where MoD legislation affects an OGD or an OGD proposes legislation in which the MoD has an interest.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","139073","406497","1.00","65000","69999","","Law","","1"
"139151","N/D","SCS1","Attorney General & Legal Advisor Cyprus","MOD Legal Advisor","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","139073","245944","1.00","65000","69999","","Law","","1"
"125818","N/D","SCS1","Director Legal Services Germany","MOD Legal Advisor","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","139073","61486","1.00","65000","69999","","Law","","1"
"106029","Carole Tolley","SCS2","Director Central Top Level Budget","Corporate Services","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","104016","766308","1.00","85000","89999","","Finance","","1"
"106032","N/D","SCS1","Central Top Level Budget Fin-Hd","Finance","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","106029","1843293","1.00","65000","69999","","Finance","","1"
"110351","N/D","SCS1","Central Top Level Budget Security, Safety & Business Continuity-Hd","Security, Safety & Business Continuity","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","106029","3249326","1.00","65000","69999","","Policy","","1"
"105236","Mark Hutchinson","SCS2","Chief Executive Defence Business Services","Shared Services","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","00106000","4383465","1.00","85000","89999","","Human Resources","","1"
"194546","N/D","SCS1","Head of DBS Finance","Finance","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","105236","11340157","1.00","65000","69999","","Finance","","1"
"153965","N/D","SCS1","Head of HR Service Delivery","Human resources","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","105236","20716408","1.00","65000","69999","","Human Resources","","1"
"106013","N/D","SCS1","DBS IS Head","Information Systems","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","105236","9332802","1.00","65000","69999","","Information Technology","","1"
"104025","N/D","SCS1","DVA HQ CE SCS 1","National Vetting","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","105236","9889275","1.00","65000","69999","","Other","","1"
"1056166","Sir William Rollo","OF-8","Deputy Chief Defence Staff (Personnel & Training)","DCDS (Pers) is the Service personnel Process Owner who directs and coordinates Joint Service Personnel Strategy in order that sufficient Service personnel are recruited, trained, and retained to sustain the Armed Forces.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","109715","0","1.00","135000","139999","","Military","","1"
"1621728","David Murray","OF-7","Assistant Chief Defence Staff (Personnel) / Defence Services Secretary","One of two Service Personnel Operating Officers (SPOO). ACDS(Pers) also has the role of Defence Services Secretary (DS Sec). The Honours and Ceremonial Division supports ACDS(Pers) in both roles. The Division has a wide portfolio focused on policy for medals and commemorations; and Royal Household business.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1056166","1241659","1.00","110000","114999","","Military","","1"
"112611","N/D","SCS1","Head Pensions Compensation & Veterans","The Pensions, Compensation and Veterans Division is responsible for ensuring that pension, no-fault compensation and veterans policies are in place so that Service personnel and the veterans’ community can access appropriate services and support in recognition of their service to the United Kingdom.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1621728","1267979","1.00","65000","69999","","Policy","","1"
"106181","Gavin Barlow","SCS2","Director Service Personnel Policy","As one of the two Service Personnel Operating Officers (SPOOs) Director Service Personnel Policy directs the work of the Service Personnel Staff on behalf of DCDS(Pers), and are responsible for directing the execution of the work of the Service Personnel Staff.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1056166","25118","1.00","85000","89999","","Policy","","1"
"1622463","N/D","OF-6","Head Pay and Manning","Responsible for pay, charges, allowances, and strategic manning policy and projects for all ranks. The Pay and Manning Division works in a completely integrated way with the single Service Pay Colonels who are colocated with the Division in Head Office.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","106181","1410194","1.00","95000","99999","","Military","","1"
"169882","N/D","SCS1","Head Secretariat","The Secretariat is responsible for Parliamentary business, knowledge management, and policy relating to the Armed Forces Covenant.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","106181","1126471","1.00","65000","69999","","Policy","","1"
"175364","N/D","SCS1","Head Service Conditions & Welfare","Responsible for the development and promulgation of tri-Service policy for the Armed Forces on a range of non-financial terms and conditions of service plus accommodation, families and welfare issues.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","106181","1097130","1.00","65000","69999","","Policy","","1"
"1560696","N/D","OF-6","Head Strategy & Programme Management","The Strategy and Programme Division is split into two staff teams, responsible for Service Personnel strategy and programme formulation","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","106181","857193","1.00","95000","99999","","Military","","1"
"110655","N/D","SCS1","Expert Medical Advice","Provision of medical advice relating to Service Personnel Policy.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","106181","0","1.00","65000","69999","","Medicine","","1"
"1636138","N/D","OF-6","Future Accommodation Project Head","The Future Accommodation Project team are undertaking a Feasibility Study to develop a different approach to the provision, management and maintenance of accommodation which will better meet the future needs for affordable and good quality living accommodation during, and transition from, Service, which supports delivery of operating capability.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","106181","286165","1.00","95000","99999","","Military","","1"
"1590218","Greg Smith","OF-7","Assistant Chief Defence Staff Reserves & Cadets","ACDS(R&C) the senior Reservist in defence, reports to DCDS(PERS and TRG) and is responsible for ensuring the development of coherent Reserve Force capability and policy for Youth and Cadets across the three services.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1056166","0","1.00","110000","114999","","Military","","1"
"1056713","N/D","OF-6","Head Reserves Forces & Cadets","Head RF&C is responsible for the delivery of a coherent Reserve Force capability to Defence through development of appropriate policy and guidance in conjunction with the single Services.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1590218","1194629","1.00","95000","99999","","Military","","1"
"1622462","Al Rymer","OF-7","Director Training Education","Responsible for improving the effectiveness, efficiency and safety of Defence individual training and education and directs the Defence Technical Training Change Programme.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1056166","53225","1.00","110000","114999","","Military","","1"
"1105780","N/D","OF-6","Defence Technical Training Change Programme Leader","The Defence Technical Training Change Programmeaims to deliver military technical training on a Defence rather than single service basis. The vision is to give our people the best opportunities, training and living environment that MOD can provide and to create a new purpose built Defence Technical College at St Athan.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1622462","502037","1.00","95000","99999","","Military","","1"
"1621333","N/D","OF-6","Head Training Education Skills & Resettlement","The TESR Division is responsible setting the strategic requirements/resources and enabling all Individual Training, Education and Skills (ITE&S) and Resettlement (latter via Programme Management) delivered across Defence effectively, efficiently and safely.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1622462","4122495","1.00","95000","99999","","Military","","1"
"0179774","Bruce Houlder QC","SCS2","Director Service Prosecution Authority","The Service Prosecuting Authority provides for the independent, efficient and consistent consideration of criminal cases and offences contrary to military discipline.","Ministry of Defence","Ministry of Defence","Central Top Level Budget","020 721 82829","CTLBSDM-groupmail@mod.uk","1056166","2965517","1.00","150000","154999","","Law","","1"
