"Post Unique Reference","Name","Grade","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1017733","Air Chief Marshal S Dalton","OF-9","Chief of the Air Staff","CAS is the professional head of the Royal Air Force.  He is responsible for generating a balanced and integrated Royal Air Force capability, and for maintaining the fighting effectiveness and morale of the Service.  He reports to the Chief of the Defence (CDS).  He is a member of the Defence Council and the Air Force Board, the Defence Ministerial Committee, the Defence Board, the Chiefs of Staff Committee and the Senior Appointments Committee.  He chairs the Air Force Board Standing Committee.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","xx","1951454","1","160000","164999","","Military","","1"
"1071212","Air Chief Marshal S Bryant","OF-9","Commander-in-Chief Air Command","To generate the components of airpower and develop our capabilities in order to achieve precise campaign effects across the spectrum of operations whenever and wherever they are required.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1017733","343179","1","160000","164999","","Military","","1"
"1018042","Air Vice Marshal B North","OF-7","Assistant Chief of the Air Staff","Assisting the Chief of the Air Staff in generating a balanced and integrated Royal Air Force capability and for maintaining the fighting effectiveness and morale of the Service including the development of policy.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1017733","3422870","1","100000","104999","","Military","","1"
"1617513","N/D","OF-8","Deputy Commander-in-Chief Operation","Develop Air Power and provide the means for the Groups (and their subordinate MOBs) to generate its effect alongside their appropriate air enablers.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071212","399419","1","120000","124999","","Military","","1"
"1071229","N/D","OF-8","Deputy Commander-in-Chief-Personnel","The role of DCINC Pers is to provide sufficient personnel to meet the trained manpower requirement of the RAF, to ensure those people, as individuals, are trained to be capable of carrying out the tasks demanded of them, and that they are provided with the right support such that they are motivated to repeatedly and willingly deliver operational effect. In my dual role as AMP, it is my job to provide the policies, strategies and personnel management advice to CAS to ensure that the RAF vision is deliverable now and in the longer term.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071212","199485","1","120000","124999","","Military","","1"
"1071529","Eliminated","OF-7","Chief of Staff (Strategy, Policy and Plans)","reports, the development of HQ AIR’s input into the Planning Round (including Military priorities), strategic policy/planning, direction and advice on Force Structur","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","N/A","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071212","244824","1","N/D","","","Military","Post has been eliminated due to Air Capability Structure Review (CSR) savings.","1"
"1637646","N/D","OF-6","Assistant Chief of Staff Media and Communications","Media and Communications is responsible for deployed Media Operations and Media Strategy and Public Relations, to internal and external public audiences. Media and Communications.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1073288","1696579","1","N/D","","","Military","","1"
"1071831","N/D","OF-7","Director General Chaplaincy Services (RAF)","The Mission of the Royal Air Force Chaplains' Branch is to serve the Royal Air Force through Prayer, Presence and Proclamation.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071229","3752069","1","100000","104999","","Military","","1"
"1071246","Air Vice Marshal C B Morris","OF-7","Chief of Staff Health","To maximise the numbers of RAF personnel fit for task and provide coherent and effective medical operational capability to facilitate an agile, adaptable and capable Air Force","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071229","66082","1","100000","104999","","Military","","1"
"1071292","Air Cdre A C Wilcock","OF-6","Assistant Chief of Staff Health","To maximise the numbers of RAF personnel fit for task and provide coherent and effective medical operational capability to facilitate an agile, adaptable and capable Air Force.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071246","13264453","1","N/D","","","Military","","1"
"1071252","Air Cdre D Jenkins","OF-6","Assistant Chief of Staff Medical","To maximise the numbers of RAF personnel fit for task and provide coherent and effective medical operational capability to facilitate an agile, adaptable and capable Air Force.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071246","4956368","1","N/D","","","Military","","1"
"1071779","Air Vice Marshal I Lindsay","OF-7","Director Defence Legal Services","To deliver high quality, effective and operationally focused legal services to the RAF and Defence.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071229","38421","1","100000","104999","","Military","","1"
"1071780","Air Cdre Stephen Kell","OF-6","Deputy Director Defence Legal Services","To deliver high quality, effective and operationally focused legal services to the RAF and Defence.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071779","1839806","1","N/D","","","Military","","1"
"1071072","N/D","OF-7","Air Officer Commanding 22 Group","The Mission of 22(Trg)Gp is to underpin the military effectiveness of the RAF and the other Services by timely provision of appropriately trained military and civilian personnel. The end state is an organisation that delivers mentally and physically robust individuals with a war-fighting specialist mentality ready to integrate into front-line duties.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071229","102357284","1","100000","104999","","Military","","1"
"1072924","Air Vice Marshal Wiles","OF-7","Chief of Staff Personnel","The mission of COS Pers/ Air Sec is to manage the RAF's Servicemen and women and to provide the supporting policies to enable an agile, adaptable and capable Air Force.","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071229","50581763","1","100000","104999","","Military","","1"
"1073669","Eliminated","OF-7","Chief of Staff (Operations)","Facilitate the timely, effective and efficient delivery, sustainment and development of UK air power","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","N/A","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1617513","198840","1","N/D","","","Military","Post has been eliminated due to Air Capability Structure Review (CSR) savings.","1"
"1073645","N/D","OF-6","Assistant Chief of Staff (Operations)","Contingency planning for future, current & contingent air ops & policy development; EW, Information Exploitation & Decision Support advice; support to SF ops; management of Flight Safety, Meteorological and Fire services; co-ordinating Air participation i","Ministry of Defence","Royal Air Force Air Command","Royal Air Force Air Command","01494 496009","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072092","9768414","1","N/D","","","Military","","1"
