"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"109838","N/D","SCS1","Defence Science & Technology Strategy Head","Is responsible for the strategic direction of the Science & Technology (S&T) programme, setting the S&T strategy, policy and ensuring S&T programme delivers the direct benefits to defence, including Assurance and Evaluation programmes. He develops and implements S&T solutions in response to Defence Reform and Transformation in the MOD. He oversees the MOD’s International Research Collaboration programme and ensures the UK participates fully in strategic partnerships and that UK interests are represented.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 4939","HOCSFIN-HeadGroupMailbox@mod.uk","105230","1040851","1","0","0","","Science and Engineering","","1"
"105234","eliminated","SCS2","Defence Science & Technology Strategic Technologies Director","Post eliminated","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","N/A","HOCSFIN-HeadGroupMailbox@mod.uk","00105227","0","1","95000","99999","","Science and Engineering","","1"
"178447","N/D","SCS1","Defence Science & Technology Strategic Technologies Head","Responsible for delivery of MOD’s nuclear warhead and propulsion research programmes, including specific responsibilities as Senior Responsible Owner and central customer for the Nuclear Warhead Capability Sustainment Programme. Is the Departmental authority and custodian, on behalf of the MOD Chief Scientific Adviser, of the 1958 UK/US Mutual Defence Agreement and other international nuclear Science & Technology relationships.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 4939","HOCSFIN-HeadGroupMailbox@mod.uk","105230","897619","1","0","0","","Science and Engineering","","1"
"105230","Dr Bryan Wells","SCS2","Defence Science & Technology Strategy Director","Provides advice to Ministers/senior officials Defence S&T including strategic Missile Defence (MD). Supports the Defence Research & Development (R&D) Board in defining the Science & Technology (S&T) strategy/policy to effectively manage the Research Programme. Identifies more cost effective options for military capability, so investment brings maximum benefit to UK Armed Forces. Oversees the delivery of MOD’s S&T requirement by Dstl and sets the direction of the Defence Innovation Strategy and ensures Dstl creates mutually beneficial relationships with Defence research and technology suppliers. Responsible for development of technical programmes to deal with emerging Chemical Biological Radiological Nuclear (CBRN) threats.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","00105227","406703","1","85000","89999","","Science and Engineering","","1"
"00105227","Prof Vernon Gibson","SCS3","Chief Scientific Adviser","CSA is responsible for ensuring that key strategic decisions made by Ministers, senior officials and the Armed Forces are informed by high quality expert scientific advice and analysis. He is deputy chair of MOD's R&D Board, a member of the Investment Approvals Committee and is the technical SRO for the 1958 UK-US Mutual Defence Agreement on nuclear issues. He is process owner for Science & Technology (S&T) and responsible for delivery of the S&T Programme budget, which covers both nuclear and non-nuclear S&T.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","00005654","0","1","140000","144999","","Science and Engineering","Added to Position 00005654","1"
"1047423","Stephen Hillier","OF-8","Deputy Chief of Defence Staff (Military Capability)","DCDS(Mil Cap) acts as an identifiable, responsible and strong Capability Sponsor across the MOD Unified Customer in order to deliver capability that meets the endorsed requirements. Priority is given to current operations (particularly Afghanistan) exploiting both Equipment Plan and Urgent Operational Requirement processes. DCDS(Mil Cap)s other key objective is to generate and implement an affordable, balanced and coherent Equipment and Equipment Support Plan which is realistic and has agility. DCDS(Mil Cap) chairs the Military Capabilities Board (MCB) that leads the Capability Sponsor","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","00109715","351458","1","130000","134999","","Military","","1"
"1431838","Nicholas Pope","OF-7","Director Land Capability and Transformation","D LC&T is a member of the MCB leading on the coordination of battlespace manoeuvre and land environment issues, which provides strategic direction to the coherent delivery of a balanced and affordable Equipment and Support programme.  D LC&T is the Senior Responsible Owner (SRO) for the Urgent Operational Requirements process and for elements of Counter Improvised Explosives Device capability.  D LC&T represents the Capability Sponsor on the Army Board as the Master General of Ordnance.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1047423","0","1","110000","114999","","Military","Added to Position 1047423","1"
"1565824","Mark Green","OF-7","Director Air & Joint Capability and Transformation","D AJC&T is a member of the MCB leading on the coordination of Information Superiority and air environment issues, which provides strategic direction to the coherent delivery of a balanced and affordable Equipment and Support programme.  D AJC&T is the Senior Responsible Owner (SRO) for Defence Information Infrastructure, Operational Information Superiority and Combat Identification.  D AJC&T represents the Capability Sponsor on the Air Force Board.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1047423","0","1","110000","114999","","Military","Added to Position 1047423","1"
"1105905","Henry Parker","OF-7","Director Maritime Capability and Transformation","D MC&T is a member of the MCB leading on the coordination of Precision Attack and maritime environment issues, which provides strategic direction to the coherent delivery of a balanced and affordable Equipment and Support programme.  D MC&T is the Senior Responsible Owner (SRO) for Carrier Strike (CS) and is the JCB member for Complex Weapons (CW) and Testing and Evaluation (T&E).  D MC&T represents the Capability Sponsor on the Navy Board as the Controller of the Navy.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1047423","0","1","110000","114999","","Military","Added to Position 1047423","1"
"1055224","Mark Poffley","OF-7","Assistant Chief of Defence Staff (Capability & force Development)","ACDS(C&FD) is a member of the MCB leading on the Resource Planning and coherence across all the Defence Lines of Development, force structure and performance management","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1047423","0","1","110000","114999","","Finance","Added to Position 1047423","1"
"1573670","N/D","OF-6","Head of Special Projects and Chemical Biological Radiological Nuclear Capability","Responsible for the delivery of Defence-wide capability solutions to the MCB related to the ability to deliver; precise, agile and timely effects worldwide for Special Forces; specialist military capability to counter the threat from terrorist weapons and conduct explosive ordnance disposal; and to enhance survivability and reduce degredation of individuals and equipment from CBRN threats .","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1565824","978093","1","0","0","","Military","","1"
"1479775","N/D","OF-6","Head of Theatre Airspace Capability","Responsible for the delivery of Defence-wide capability solutions to the MCB related to the ability to deliver capabilities which enable effective and secure air operations and give a joint force the freedom to operate without interference to and from the air environment.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1431838","955965","1","0","0","","Military","","1"
"1564419","N/D","OF-6","Head of Deep Theatre Attack Capability","Responsible for the delivery of Defence-wide capability solutions to the MCB related to the ability to deliver fires against land based targets from all environments.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1105905","1011846","1","0","0","","Military","","1"
"00137389","N/D","SCS1","Head of Joint Training Evaluation & Simulation Capability","Responsible for the delivery of Defence-wide capability solutions to the MCB related to the current and future delivery of joint training and mission preparation capabilities and facilities to test,  evaluate and develop cost-effective military capability.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1105905","463705","1","0","0","","Planning","","1"
"1047472","N/D","OF-6","Head of Air & Littoral Manoeuvre Capability","Responsible for the delivery of Defence-wide capability solutions to the MCB related to the ability to deliver the landing froce from the sea; and attack, lift and find elements by air, to contribute to campaign success as part of a joint and/or coalition force.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1431838","710674","1","0","0","","Military","","1"
"1105937","N/D","OF-6","Head of Above Water Capability","Responsible for the delivery of Defence-wide capability solutions to the MCB related to the ability to provide control and denail of the above water battlespace to allow joint commanders to utilise the seaward flank in military operations.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1105905","852478","1","0","0","","Military","","1"
"1432988","N/D","OF-6","Head of Capability Improvement","Responsible for providing change management and business support to the MCB and champion Through Life Capability Management(TLCM)/Acquisition Reform and innovation to deliver better solutions for defence.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1431838","590991","1","0","0","","Military","","1"
"1047441","N/D","OF-6","Head of Command Control & Information Infrastructure Capability","Responsible for the delivery of Defence-wide capability solutions to the MCB related to the ability to command, inform and amange the battle and bsuiness space collaboratively from the strategic functions of the Department of State to individual military platforms over a defence-wide network.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1565824","2762825","1","0","0","","Military","","1"
"105349","N/D","SCS1","Head of Export Policy Assurance & Assurance","Responsible for the provision of co-ordinated MOD advice on export licencing control applications, protection of capability through monitoring and assessment of the release of military information, technology and equipment to overseas entities, export support and international export control initiatives.","Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","0207 218 9507","HOCSFIN-HeadGroupMailbox@mod.uk","1055232","816661","1","0","0","","Policy","","1"
